 [QUOTE_DATE],IV_Rank
2016-01-07,54.27
2016-01-08,57.94
2016-01-11,50.94
2016-01-12,47.84
2016-01-13,56.45
2016-01-14,54.85
2016-01-15,62.93
2016-01-19,64.52
2016-01-20,72.92
2016-01-21,66.63
2016-01-22,50.32
2016-01-25,61.77
2016-01-26,57.62
2016-01-27,59.57
2016-01-28,48.37
2016-01-29,3.03
2016-02-01,41.67
2016-02-02,47.02
2016-02-03,46.73
2016-02-04,46.13
2016-02-05,51.9
2016-02-08,56.84
2016-02-09,58.56
2016-02-10,57.58
2016-02-11,61.06
2016-02-12,51.63
2016-02-16,45.12
2016-02-17,42.42
2016-02-18,39.71
2016-02-19,35.72
2016-02-22,31.92
2016-02-23,38.3
2016-02-24,37.96
2016-02-25,28.67
2016-02-26,23.64
2016-02-29,9.38
2016-03-01,37.86
2016-03-02,35.65
2016-03-03,35.16
2016-03-04,34.85
2016-03-07,36.32
2016-03-08,39.83
2016-03-09,38.86
2016-03-10,37.65
2016-03-11,32.92
2016-03-14,33.1
2016-03-15,34.22
2016-03-16,29.86
2016-03-17,27.92
2016-03-18,25.45
2016-03-21,25.48
2016-03-22,25.44
2016-03-23,26.44
2016-03-24,22.57
2016-03-28,25.98
2016-03-29,21.04
2016-03-30,19.0
2016-04-01,26.11
2016-04-04,28.67
2016-04-05,32.24
2016-04-06,28.56
2016-04-07,34.11
2016-04-08,31.9
2016-04-11,34.1
2016-04-12,30.68
2016-04-13,27.35
2016-04-14,26.83
2016-04-15,27.1
2016-04-19,26.34
2016-04-20,26.34
2016-04-21,27.29
2016-04-22,24.06
2016-04-25,29.37
2016-04-26,31.31
2016-04-27,26.69
2016-04-28,31.28
2016-04-29,1.69
2016-05-02,28.51
2016-05-03,30.87
2016-05-04,32.88
2016-05-05,32.33
2016-05-06,30.0
2016-05-09,28.89
2016-05-10,25.5
2016-05-11,27.9
2016-05-12,27.26
2016-05-13,29.08
2016-05-16,26.4
2016-05-17,29.66
2016-05-18,29.91
2016-05-19,29.63
2016-05-20,24.49
2016-05-23,24.6
2016-05-24,20.33
2016-05-25,17.95
2016-05-26,14.47
2016-05-27,9.74
2016-05-31,3.32
2016-06-01,28.15
2016-06-02,27.18
2016-06-03,26.73
2016-06-06,27.41
2016-06-07,28.54
2016-06-08,27.89
2016-06-09,29.68
2016-06-10,35.62
2016-06-13,44.37
2016-06-14,45.69
2016-06-15,45.35
2016-06-16,43.19
2016-06-17,45.38
2016-06-20,44.95
2016-06-21,46.73
2016-06-22,58.92
2016-06-23,42.48
2016-06-24,63.14
2016-06-27,52.51
2016-06-28,42.54
2016-06-29,32.06
2016-07-01,28.69
2016-07-05,31.4
2016-07-06,30.23
2016-07-07,28.95
2016-07-08,24.09
2016-07-11,25.45
2016-07-12,25.05
2016-07-13,24.22
2016-07-14,21.98
2016-07-15,21.03
2016-07-18,21.97
2016-07-19,21.63
2016-07-20,19.91
2016-07-21,22.11
2016-07-22,17.33
2016-07-25,22.66
2016-07-26,24.5
2016-07-27,23.59
2016-07-28,27.24
2016-08-01,23.17
2016-08-02,25.68
2016-08-03,23.26
2016-08-04,22.76
2016-08-05,19.78
2016-08-08,19.66
2016-08-09,18.36
2016-08-10,19.86
2016-08-11,17.41
2016-08-12,16.64
2016-08-15,16.18
2016-08-16,19.17
2016-08-17,18.9
2016-08-18,15.69
2016-08-19,14.74
2016-08-22,16.27
2016-08-23,17.53
2016-08-24,22.26
2016-08-25,21.75
2016-08-26,19.35
2016-08-29,13.57
2016-08-30,10.98
2016-08-31,0.54
2016-09-01,34.94
2016-09-02,29.66
2016-09-06,29.38
2016-09-07,29.23
2016-09-08,30.57
2016-09-09,49.43
2016-09-12,41.83
2016-09-13,54.51
2016-09-14,53.5
2016-09-15,47.27
2016-09-16,44.48
2016-09-19,46.57
2016-09-20,49.75
2016-09-21,35.18
2016-09-22,27.03
2016-09-23,30.41
2016-09-26,49.81
2016-09-27,35.18
2016-09-28,29.07
2016-09-29,42.95
2016-10-03,35.65
2016-10-04,36.97
2016-10-05,33.51
2016-10-06,32.29
2016-10-07,32.44
2016-10-10,29.17
2016-10-11,37.77
2016-10-12,36.63
2016-10-13,38.67
2016-10-14,36.04
2016-10-17,37.82
2016-10-18,33.18
2016-10-19,30.8
2016-10-20,29.04
2016-10-21,26.57
2016-10-24,24.84
2016-10-25,26.87
2016-10-26,28.12
2016-10-27,25.18
2016-10-28,27.78
2016-11-01,51.34
2016-11-02,53.56
2016-11-03,60.04
2016-11-04,64.1
2016-11-07,51.61
2016-11-08,48.88
2016-11-09,36.53
2016-11-10,35.38
2016-11-11,33.79
2016-11-14,32.17
2016-11-15,27.89
2016-11-16,26.16
2016-11-17,24.61
2016-11-18,21.82
2016-11-21,20.97
2016-11-22,21.47
2016-11-23,19.38
2016-11-25,17.34
2016-11-28,25.62
2016-11-29,22.17
2016-12-01,36.98
2016-12-02,36.34
2016-12-05,30.35
2016-12-06,29.0
2016-12-07,29.72
2016-12-08,31.64
2016-12-09,28.58
2016-12-12,31.32
2016-12-13,30.89
2016-12-14,33.38
2016-12-15,30.0
2016-12-16,27.07
2016-12-19,23.73
2016-12-20,23.92
2016-12-21,23.09
2016-12-22,22.1
2016-12-23,21.03
2016-12-27,25.8
2016-12-28,28.65
2016-12-29,23.94
2016-12-30,1.29
2017-01-03,32.72
2017-01-04,28.59
2017-01-05,27.79
2017-01-06,27.33
2017-01-09,26.42
2017-01-10,24.99
2017-01-11,24.15
2017-01-12,24.21
2017-01-13,21.81
2017-01-17,22.88
2017-01-18,23.13
2017-01-19,24.24
2017-01-20,19.57
2017-01-23,21.09
2017-01-24,17.68
2017-01-25,17.19
2017-01-26,19.16
2017-01-27,14.7
2017-01-30,20.69
2017-02-01,29.52
2017-02-02,29.54
2017-02-03,25.46
2017-02-06,26.26
2017-02-07,25.4
2017-02-08,25.06
2017-02-09,24.1
2017-02-10,23.54
2017-02-13,24.61
2017-02-14,23.27
2017-02-15,28.41
2017-02-16,27.8
2017-02-17,21.74
2017-02-21,23.7
2017-02-22,24.72
2017-02-23,22.58
2017-02-24,17.82
2017-02-27,22.49
2017-03-01,35.55
2017-03-02,34.05
2017-03-03,29.72
2017-03-06,30.13
2017-03-07,31.31
2017-03-08,31.4
2017-03-09,33.18
2017-03-10,29.3
2017-03-13,29.15
2017-03-14,31.78
2017-03-15,29.88
2017-03-16,26.15
2017-03-17,25.25
2017-03-20,25.92
2017-03-21,39.76
2017-03-22,41.97
2017-03-23,47.97
2017-03-24,39.75
2017-03-27,36.97
2017-03-28,27.26
2017-03-29,24.55
2017-03-30,18.35
2017-04-03,34.74
2017-04-04,32.67
2017-04-05,35.63
2017-04-06,35.76
2017-04-07,37.19
